ligando,MolWt,ExactMolWt,MolLogP,TPSA,NumHDonors,NumHAcceptors,NumRotatableBonds,NumHeavyAtoms,NumAtoms,FractionCSP3,NumRings,FormalCharge,Chi0n,Chi1n,Kappa1,Kappa2,LabuteASA,Asphericity,Eccentricity,InertialShapeFactor,NPR1,NPR2,PMI1,PMI2,PMI3,RadiusOfGyration,SpherocityIndex
1-Butanethiol,90.19099999999995,90.05032132,1.7163,0.0,1,1,3,5,15,1.0,0,0,12.408248290463863,5.862372435695795,0.4916188129029124,4.349999999999999,52.719744903903525,0.5846479433929394,0.9862456555791664,0.016468518198382496,0.16528613629466948,0.904700283613982,54.935135797635986,300.68966490867587,332.3638450819523,1.952963094911496,0.2961851744192379
1-Dodecanethiol,202.40700000000024,202.175521832,4.837100000000006,0.0,1,1,11,13,39,1.0,0,0,32.40824829046386,15.862372435695795,1.384472852628555,12.35,126.11880982176126,0.5792845441229384,0.9858366265632473,0.0018200658839408758,0.167708514173837,0.8849369646590651,486.2115006204973,2565.561633295746,2899.146194310197,3.8341073610708274,0.18930953710398526
1-Hexanethiol,118.24499999999992,118.08162144799999,2.4965000000000015,0.0,1,1,5,7,21,1.0,0,0,17.408248290463863,8.362372435695795,0.7156587120960582,6.35,71.06951113336798,0.7377993100359836,0.9952977369040221,0.01147032524849543,0.09686286653682957,0.9449953079741275,82.38609520667977,803.7597502136693,850.5436412554919,2.7099089354898807,0.19787277530850322
11-Mercaptoundecanesulfonic_acid_MUS,268.44399999999985,268.11668662800037,4.395700000000005,60.03,2,2,13,16,40,1.0,0,0,31.541241452319316,15.22474487139159,2.5690221760011185,10.716297452503815,140.09950659921066,0.6387190319678226,0.9902102704709962,0.0010428186791302516,0.13958373921684628,0.8961541537057167,859.357596522093,5517.239213984963,6156.573834055719,4.831573914244436,0.1326952484004227
11-Mercaptoundecanoic_acid_MUA,218.3620000000002,218.134050944,3.5117000000000034,37.3,2,3,11,14,36,0.9090909090909091,0,0,28.72474487139159,13.928869016623521,1.873382934999098,10.898003120124804,123.17641181706044,0.7416643839831054,0.9954261293955888,0.0025881157683204097,0.09553439650992955,0.9591004446773038,370.57864892176906,3720.3579020027796,3879.0075874216914,4.271929817672602,0.14276713828331866
2-Mercaptosuccinic_acid,150.15500000000003,149.998679672,-0.29840000000000005,74.6,3,5,4,9,15,0.5,0,0,10.041241452319316,4.495365597551247,2.4943628247787246,3.341930325442243,65.18471512396627,0.1912276398293744,0.8968077245768434,0.0028168372207865557,0.44242050714145736,0.7856012209392045,278.8947885031987,495.2304037110109,630.3839537303054,2.162605926486685,0.44064797107691994
3-Mercapto-1-propanesulfonic_acid_MPS,156.22800000000007,155.991486116,1.2749,60.03,2,2,5,8,16,1.0,0,0,11.541241452319316,5.224744871391589,2.0309105350495433,3.575937953547972,66.70044168135288,0.5493087519879288,0.982673582636232,0.006007999169000979,0.18534462492576556,0.9555628768391397,159.04843691881408,819.9902317090766,858.1227374816849,2.4248184195022913,0.3038778445019297
3-Mercaptopropionic_acid,106.14599999999996,106.008850432,0.3909000000000001,37.3,2,3,3,6,12,0.6666666666666666,0,0,8.72474487139159,3.928869016623521,1.1549482884095654,3.0274688796680502,49.77734689920266,0.6873676811201163,0.9930176438601599,0.015780845628941706,0.11796592297107157,0.9007693095696083,57.0799138873533,435.8532814193509,483.86781919513174,2.1450441565223173,0.23099999866050783
4-Aminothiophenol,125.19599999999996,125.029920224,1.5574999999999999,26.02,2,2,2,8,15,0.0,1,0,10.855461885963821,5.23040642444569,1.448214249221175,2.092227094578511,63.55816311336705,0.6171243696694259,0.988687013840064,0.009359883226436964,0.1499932953968856,0.8563159161506224,91.48788456376897,522.3068903153979,609.9464934195224,2.2107242668404967,0.03921382827799529
4-Mercaptobenzoic_acid,154.19000000000003,154.008850432,1.6735,37.3,2,3,2,10,16,0.0,1,0,10.72474487139159,5.178869016623521,2.5833595518334085,2.7488332358362486,72.10455687647344,0.6673132009702915,0.9918985089906664,0.006618645642894081,0.12703286134734065,0.8729724802804897,131.89593874356027,906.3916498665859,1038.2820424938923,2.5949568889063594,8.246651581814602e-06
